"percentile","temperature_C","rr_cumulative","rr_low_95","rr_high_95","or_cumulative","or_low_95","or_high_95"
"p01",-5.57742857142857,1.26084065059475,1.19671596016005,1.32840139106992,1.26084065059475,1.19671596016005,1.32840139106992
"p10",1.32857142857143,1.22285342284801,1.18137832743414,1.26578460011106,1.22285342284801,1.18137832743414,1.26578460011106
"p50",14.7857142857143,1.06236898631201,1.03612356631071,1.08927921318909,1.06236898631201,1.03612356631071,1.08927921318909
"p90",25.8,1.00197766014182,0.996050027215103,1.00794056924057,1.00197766014182,0.996050027215103,1.00794056924057
"p99",29.1857142857143,1.02369878105911,0.982488148396615,1.06663800072513,1.02369878105911,0.982488148396615,1.06663800072513
