"temperature_C","rr_cumulative","rr_low_95","rr_high_95"
-8.2,1.30965052139042,1.17309421825228,1.46210292531622
-8.1,1.30900111398269,1.1735687629255,1.46006264868238
-8,1.30835183647188,1.17403885181776,1.4580305629145
-7.9,1.30770258558617,1.17450418529251,1.4560067761043
-7.8,1.30705325825893,1.17496446301724,1.4539913960787
-7.7,1.30640375162875,1.17541938403442,1.45198453033142
-7.6,1.30575396303952,1.17586864683806,1.44998628594969
-7.5,1.30510379004064,1.17631194945581,1.44799676953585
-7.4,1.30445313038726,1.17674898953709,1.44601608712364
-7.3,1.30380188204065,1.17717946444728,1.44404434408894
-7.2,1.30314994316858,1.17760307136839,1.4420816450546
-7.1,1.30249721214586,1.17801950740639,1.44012809378927
-7,1.3018435875549,1.17842846970533,1.43818379309998
-6.9,1.30118896818638,1.17882965556869,1.43624884471807
-6.8,1.30053325303997,1.17922276258805,1.43432334917842
-6.7,1.29987634132517,1.17960748877935,1.43240740569169
-6.6,1.29921813246221,1.17998353272695,1.43050111200932
-6.5,1.29855852608298,1.18035059373575,1.42860456428111
-6.4,1.29789742203215,1.18070837199148,1.42671785690518
-6.3,1.29723472036821,1.18105656872938,1.42484108237018
-6.2,1.29657032136477,1.18139488641152,1.42297433108946
-6.1,1.29590412551177,1.18172302891272,1.42111769122717
-6,1.29523603351688,1.18204070171537,1.41927124851619
-5.9,1.29456594630689,1.18234761211313,1.41743508606766
-5.8,1.2938937650293,1.18264346942364,1.41560928417218
-5.7,1.2932193910538,1.1829279852102,1.4137939200926
-5.6,1.29254272597402,1.18320087351251,1.41198906784842
-5.5,1.29186367160923,1.18346185108632,1.41019479799179
-5.4,1.29118213000612,1.18371063765197,1.40841117737535
-5.3,1.29049800344075,1.18394695615165,1.40663826891182
-5.2,1.28981119442047,1.18417053301517,1.40487613132579
-5.1,1.28912160568592,1.18438109843405,1.4031248188978
-5,1.28842914021322,1.18457838664357,1.401384381201
-4.9,1.28773370121606,1.18476213621245,1.39965486283084
-4.8,1.287035192148,1.18493209033963,1.39793630312827
-4.7,1.28633351670477,1.18508799715779,1.39622873589679
-4.6,1.2856285788267,1.18522961004291,1.39453218911407
-4.5,1.28492028270112,1.18535668792933,1.39284668463873
-4.4,1.28420853276495,1.18546899562939,1.39117223791307
-4.3,1.2834932337073,1.18556630415711,1.38950885766244
-4.2,1.28277429047213,1.18564839105475,1.38785654559226
-4.1,1.28205160826099,1.18571504072153,1.3862152960836
-4,1.28132509253587,1.18576604474329,1.38458509588836
-3.9,1.28059464902206,1.18580120222204,1.38296592382511
-3.8,1.2798601837111,1.18582032010419,1.38135775047696
-3.7,1.27912160286381,1.18582321350629,1.37976053789253
-3.6,1.27837881301341,1.18580970603674,1.37817423929143
-3.5,1.27763172096861,1.18577963011229,1.37659879877565
-3.4,1.27688023381689,1.18573282726776,1.37503415104835
-3.3,1.27612425892778,1.18566914845751,1.37348022114142
-3.2,1.2753637039562,1.18558845434716,1.37193692415343
-3.1,1.27459847684588,1.1854906155939,1.37040416499961
-3,1.27382848583289,1.18537551311392,1.36888183817525
-2.9,1.27305363944914,1.18524303833527,1.36736982753427
-2.8,1.27227384652602,1.18509309343461,1.36586800608457
-2.7,1.2714890161981,1.1849255915562,1.36437623580157
-2.6,1.27069905790681,1.18474045701174,1.36289436746167
-2.5,1.26990388140433,1.18453762545929,1.36142224049701
-2.4,1.2691033967574,1.1843170440601,1.3599596828731
-2.3,1.26829751435126,1.18407867161178,1.35850651099051
-2.2,1.26748614489367,1.18382247865657,1.35706252961215
-2.1,1.2666691994189,1.18354844756352,1.35562753181712
-2,1.26584658929194,1.1832565725835,1.35420129898238
-1.9,1.26501822621255,1.18294685987602,1.35278360079308
-1.8,1.26418402221961,1.18261932750709,1.35137419528244
-1.7,1.26334388969532,1.18227400541739,1.34997282890191
-1.6,1.2624977413696,1.1819109353603,1.34857923662197
-1.5,1.26164549032447,1.18153017080923,1.34719314206415
-1.4,1.26078704999851,1.18113177683425,1.34581425766433
-1.3,1.25992233419139,1.18071582994794,1.34444228486737
