"cluster","period","temperature_c","or_cumulative","or_low_95","or_high_95","centering_temp_c","temp_lower_bound_c","temp_upper_bound_c"
"cluster_1","2018-2021",4.41771428571429,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",4.73698124098124,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",5.0562481962482,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",5.37551515151515,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",5.69478210678211,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",6.01404906204906,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",6.33331601731602,NA,NA,NA,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",6.65258297258297,1.50578789432319,1.29652318062093,1.74882888064089,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",6.97184992784993,1.48520567001099,1.28716711049662,1.71371367730312,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",7.29111688311688,1.46493897422929,1.27734069403106,1.68008911658755,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",7.61038383838384,1.44501605106823,1.26700434967935,1.64803805793821,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",7.92965079365079,1.4254634205285,1.25613114162416,1.61762247263254,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",8.24891774891775,1.40630595733873,1.24471126101614,1.5888796924934,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",8.5681847041847,1.38756697405384,1.23275637771448,1.56181881699489,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",8.88745165945166,1.36926830786337,1.22030313102317,1.53641800242453,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",9.20671861471861,1.35143041058969,1.2074149643382,1.51262342161518,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",9.52598556998557,1.33407244140855,1.19418167990527,1.49035051271843,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",9.84525252525252,1.31721236187703,1.18071650331507,1.46948772326822,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",10.1645194805195,1.30086703290759,1.16715098661127,1.44990241769758,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",10.4837864357864,1.28505231338045,1.15362854462274,1.43144815185244,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",10.8030533910534,1.26978316014001,1.14029763653756,1.41397230171497,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",11.1223203463203,1.25507372917469,1.12730552010038,1.39732311922344,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",11.4415873015873,1.24093309929032,1.11478352792138,1.38135783167302,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",11.7608542568543,1.22734892574844,1.10280375662561,1.36595960658052,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",12.0801212121212,1.21430313347758,1.09140674734851,1.35103810156547,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",12.3993881673882,1.20177846272719,1.08061765975282,1.33652403367653,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",12.7186551226551,1.18975843142993,1.07044913567467,1.32236561082974,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",13.0379220779221,1.17822729821397,1.06090380856148,1.30852538661252,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",13.357189033189,1.16717002738241,1.05197642693971,1.29497756597348,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",13.676455988456,1.15657225574541,1.04365560682135,1.28170574087569,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",13.9957229437229,1.14642026119801,1.03592525267531,1.26870101089933,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",14.3149898989899,1.13670093294307,1.0287656958619,1.25596043506403,25.5833333333333,4.41771428571429,36.0251428571428
"cluster_1","2018-2021",14.6342568542568,1.12740174326487,1.02215460004271,1.24348576102241,25.5833333333333,4.41771428571429,36.0251428571428
