"temperature_C","rr_cumulative","rr_low_95","rr_high_95"
-8.2,1.28421959374812,1.18490408248654,1.3918594672285
-8.1,1.2838461811471,1.18531555382676,1.39056727259221
-8,1.28347268140262,1.18572385298847,1.38927973807308
-7.9,1.28309898929657,1.18612873797084,1.38799690424021
-7.8,1.28272499973361,1.18652996636618,1.38671881164593
-7.7,1.2823506077414,1.18692729540963,1.38544550077705
-7.6,1.28197570847087,1.18732048203236,1.38417701200289
-7.5,1.28160019719658,1.18770928291847,1.38291338551999
-7.4,1.2812239693172,1.18809345456577,1.38165466129334
-7.3,1.28084692035603,1.1884727533506,1.38040087899396
-7.2,1.28046894596168,1.18884693559673,1.37915207793275
-7.1,1.28008994190871,1.18921575764863,1.37790829699046
-7,1.27970980409848,1.18957897594914,1.37666957454349
-6.9,1.27932842856002,1.18993634712169,1.37543594838564
-6.8,1.27894571145101,1.19028762805731,1.37420745564547
-6.7,1.27856154905879,1.19063257600644,1.37298413269919
-6.6,1.27817583780155,1.19097094867567,1.37176601507901
-6.5,1.27778847422953,1.19130250432966,1.37055313737679
-6.4,1.27739935502631,1.19162700189817,1.36934553314283
-6.3,1.27700837701022,1.19194420108846,1.36814323477987
-6.2,1.27661543713578,1.19225386250301,1.36694627343199
-6.1,1.27622043249531,1.19255574776277,1.36575467886849
-6,1.2758232603205,1.19284961963583,1.36456847936269
-5.9,1.27542381798417,1.19313524217176,1.36338770156547
-5.8,1.27502200300208,1.19341238084148,1.36221237037374
-5.7,1.27461771303479,1.19368080268268,1.36104250879364
-5.6,1.27421084588963,1.19394027645089,1.35987813779859
-5.5,1.27380129952277,1.19419057277601,1.35871927618225
-5.4,1.27338897204132,1.19443146432431,1.35756594040642
-5.3,1.27297376170557,1.19466272596575,1.35641814444396
-5.2,1.27255556693126,1.19488413494659,1.35527589961694
-5.1,1.27213428629198,1.19509547106694,1.35413921443014
-5,1.27170981852159,1.19529651686323,1.35300809440011
-4.9,1.27128206251678,1.19548705779526,1.35188254188002
-4.8,1.27085091733969,1.19566688243758,1.35076255588056
-4.7,1.27041628222057,1.19583578267485,1.34964813188733
-4.6,1.26997805656059,1.1959935539009,1.34853926167487
-4.5,1.26953613993468,1.19613999522094,1.34743593311797
-4.4,1.26909043209447,1.19627490965665,1.34633813000056
-4.3,1.26864083297127,1.19639810435348,1.34524583182265
-4.2,1.2681872426792,1.19650939078971,1.34415901360605
-4.1,1.26772956151835,1.19660858498672,1.34307764569928
-4,1.26726768997799,1.19669550771967,1.34200169358231
-3.9,1.26680152873994,1.19676998472816,1.34093111767201
-3.8,1.26633097868194,1.19683184692588,1.33986587312869
-3.7,1.26585594088114,1.19688093060867,1.33880590966487
-3.6,1.26537631661764,1.19691707766016,1.33775117135679
-3.5,1.26489200737813,1.19694013575408,1.33670159645963
-3.4,1.26440291485961,1.1969499585524,1.33565711722734
-3.3,1.26390894097312,1.19694640589842,1.33461765973786
-3.2,1.26340998784765,1.19692934400392,1.33358314372478
-3.1,1.26290595783403,1.19689864562931,1.33255348241631
-3,1.26239675350898,1.1968541902559,1.33152858238251
-2.9,1.26188227767913,1.19679586424939,1.33050834339185
-2.8,1.26136243338521,1.19672356101343,1.32949265827784
-2.7,1.26083712390627,1.1966371811325,1.32848141281697
-2.6,1.26030625276395,1.19653663250303,1.3274744856187
-2.5,1.25976972372688,1.19642183045187,1.32647174802846
