"cluster","period","n_states","temp_p01_c","temp_p50_c","temp_p99_c","centering_temp_c","heat_or_p99_vs_center","heat_or_low_95","heat_or_high_95","cold_or_p01_vs_center","cold_or_low_95","cold_or_high_95","relative_heat_or_p99_vs_p50","relative_heat_or_low_95","relative_heat_or_high_95","relative_cold_or_p01_vs_p50","relative_cold_or_low_95","relative_cold_or_high_95","q_stat","q_df","q_pvalue","i2"
"cluster_1","2018-2021",6,6.65028571428571,20.8571428571429,34.9671428571429,25.5833333333333,1.01653391365941,0.783526972394562,1.31883296175712,1.50593706359269,1.29658890997463,1.74908671673472,1.00057687391933,0.771800835230105,1.29716636070196,1.48229761856591,1.27623310093738,1.72163394633186,NA,20,0.580342247509949,NA
"cluster_1","2022-2025",6,5.99957142857143,21.4142857142857,35.3675714285715,23.8,0.897928663311357,0.723852463498988,1.11386770792864,1.29048592533943,1.13120682784637,1.47219224858262,0.891232141581214,0.71772722509117,1.10668050816456,1.28086181220598,1.12103623611772,1.46347364082467,NA,20,0.470658116124705,NA
"cluster_2","2018-2021",11,-0.456857142857143,15.8571428571429,28.3851428571429,19.7727272727273,1.07827118886991,0.951929764454969,1.22138082047746,1.30862546079712,1.17475219980263,1.4577547477112,1.05595948523306,0.928896516418826,1.20040329008071,1.28154724174209,1.15036162154169,1.42769308542796,NA,40,0.0441825888753214,NA
"cluster_2","2022-2025",11,-1.09885714285714,16.2428571428571,28.8845714285714,19.8636363636364,1.0766243558845,0.921201888075322,1.25826924443836,1.28471822729106,1.16256700059031,1.4197039161578,1.05844603052297,0.898975184547247,1.24620570043216,1.2630263290854,1.14282355434794,1.39587209407241,NA,40,0.123883284847086,NA
"cluster_3","2018-2021",10,-5.16285714285714,9.98571428571429,26.1782857142857,22.99,0.949725816024222,0.831590326671332,1.08464359997223,1.18306440970904,1.0052166692566,1.3923778229377,0.831491564243894,0.711147992174027,0.972200201669934,1.03578112759774,0.910718518772022,1.17801771038347,NA,36,0.908027259101216,NA
"cluster_3","2022-2025",10,-5.75857142857143,10.7857142857143,26.42,19.91,1.07476339746527,0.920831345531654,1.25442771484302,1.41290045527625,1.21901938159232,1.63761768407014,0.992665390165427,0.854971456433607,1.15253505765289,1.30497315503064,1.1488342714874,1.48233298537116,NA,36,0.986387470245176,NA
"cluster_4","2018-2021",11,-9.70442857142857,11.4857142857143,26.8227142857143,8.75454545454545,0.893068175381706,0.778596163973844,1.02437027406984,0.970952455445557,0.848551295767415,1.11100964130065,0.916327964951206,0.801184110483609,1.04801995991257,0.996240726171362,0.871090440798868,1.13937145673672,NA,40,0.335480061695392,NA
"cluster_4","2022-2025",11,-9.54285714285714,13.1857142857143,27.1448571428572,14.2,1.1143516624874,0.963930754677957,1.28824567704897,1.22434107488537,1.08714045511937,1.37885685386151,1.11186553620571,0.961411871523963,1.28586405807784,1.22160956146237,1.08525235289744,1.37509945651997,NA,40,0.395229827137265,NA
