"Notes","State","State Code","Year","Year Code","Month","Month Code","Weekday","Weekday Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2015","2015","Jan., 2015","2015/01","Sunday","1","Renal failure","N17-N19",21,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Jan., 2015","2015/01","Monday","2","Renal failure","N17-N19",23,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Jan., 2015","2015/01","Tuesday","3","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Jan., 2015","2015/01","Wednesday","4","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Jan., 2015","2015/01","Thursday","5","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Jan., 2015","2015/01","Friday","6","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Jan., 2015","2015/01","Saturday","7","Renal failure","N17-N19",30,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Feb., 2015","2015/02","Sunday","1","Renal failure","N17-N19",21,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Feb., 2015","2015/02","Monday","2","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Feb., 2015","2015/02","Tuesday","3","Renal failure","N17-N19",15,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Feb., 2015","2015/02","Wednesday","4","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Feb., 2015","2015/02","Thursday","5","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Feb., 2015","2015/02","Friday","6","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Feb., 2015","2015/02","Saturday","7","Renal failure","N17-N19",15,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Mar., 2015","2015/03","Sunday","1","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Mar., 2015","2015/03","Monday","2","Renal failure","N17-N19",23,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Mar., 2015","2015/03","Tuesday","3","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Mar., 2015","2015/03","Wednesday","4","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Mar., 2015","2015/03","Thursday","5","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2015","2015","Mar., 2015","2015/03","Friday","6","Renal failure","N17-N19",16,Not Applicable,Not Applicable
