"Notes","State","State Code","Year","Year Code","Month","Month Code","Weekday","Weekday Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2012","2012","Jan., 2012","2012/01","Sunday","1","Renal failure","N17-N19",35,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Jan., 2012","2012/01","Monday","2","Renal failure","N17-N19",22,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Jan., 2012","2012/01","Tuesday","3","Renal failure","N17-N19",31,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Jan., 2012","2012/01","Wednesday","4","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Jan., 2012","2012/01","Thursday","5","Renal failure","N17-N19",21,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Jan., 2012","2012/01","Friday","6","Renal failure","N17-N19",25,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Jan., 2012","2012/01","Saturday","7","Renal failure","N17-N19",26,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Feb., 2012","2012/02","Sunday","1","Renal failure","N17-N19",24,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Feb., 2012","2012/02","Monday","2","Renal failure","N17-N19",22,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Feb., 2012","2012/02","Tuesday","3","Renal failure","N17-N19",26,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Feb., 2012","2012/02","Wednesday","4","Renal failure","N17-N19",38,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Feb., 2012","2012/02","Thursday","5","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Feb., 2012","2012/02","Friday","6","Renal failure","N17-N19",27,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Feb., 2012","2012/02","Saturday","7","Renal failure","N17-N19",24,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Mar., 2012","2012/03","Sunday","1","Renal failure","N17-N19",28,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Mar., 2012","2012/03","Monday","2","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Mar., 2012","2012/03","Tuesday","3","Renal failure","N17-N19",22,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Mar., 2012","2012/03","Wednesday","4","Renal failure","N17-N19",30,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Mar., 2012","2012/03","Thursday","5","Renal failure","N17-N19",26,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Mar., 2012","2012/03","Friday","6","Renal failure","N17-N19",21,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Mar., 2012","2012/03","Saturday","7","Renal failure","N17-N19",35,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Apr., 2012","2012/04","Sunday","1","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Apr., 2012","2012/04","Monday","2","Renal failure","N17-N19",27,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Apr., 2012","2012/04","Tuesday","3","Renal failure","N17-N19",25,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Apr., 2012","2012/04","Wednesday","4","Renal failure","N17-N19",27,Not Applicable,Not Applicable
,"Alabama","01","2012","2012","Apr., 2012","2012/04","Thursday","5","Renal failure","N17-N19",20,Not Applicable,Not Applicable
