"state","log_rr_per_1C","rr_per_1C","se","rr_low_95","rr_high_95"
"Alabama",-0.0161909436285855,0.983939425153042,0.0108988020353918,0.963143759247431,1.00518409954394
"Arizona",-0.016095159802674,0.984033675149389,0.0136983324706385,0.957965138598687,1.01081159930775
"Arkansas",0.00267759359288848,1.00268118154826,0.00988250072191251,0.98344643348981,1.02229213264154
"California",-0.03595292155567,0.9646857083165,0.00627092991765115,0.952901303981392,0.976615848820666
"Colorado",0.00996819756657717,1.01001804554175,0.00979272711353027,0.990816877223854,1.02959131578206
"Connecticut",0.0075117944444334,1.00754007874993,0.0152602368175395,0.977850709162047,1.03813087291957
"Florida",-0.0153778665565955,0.984739769066412,0.00630526177223798,0.972644936502452,0.996985000783506
"Georgia",-0.00580048052076978,0.99421630978673,0.00757030469688098,0.979573233949125,1.00907827652759
"Illinois",0.00973771565525063,1.00978528147712,0.00603270073163597,0.997915797194494,1.02179594466235
"Indiana",0.00222974636104035,1.00223223409412,0.00732044191698565,0.987954811334202,1.01671598693951
"Iowa",0.0161046871217698,1.01623506656179,0.010708742806525,0.995127460742546,1.03779038490128
"Kansas",0.00411735149810728,1.00412583943506,0.0117426234337042,0.98127926077508,1.02750434226519
"Kentucky",-0.00641814571062098,0.993602406593825,0.0083745726595956,0.977426376494439,1.01004614376156
"Louisiana",0.000595543180250852,1.0005957205513,0.00977211226390325,0.981613338786461,1.01994518251282
"Maryland",-0.0107393373161834,0.989318123485878,0.00909760343038951,0.971833641354295,1.00711717294915
"Massachusetts",0.00252625065830202,1.00252944431826,0.0102169676114605,0.982653212559294,1.02280771474548
"Michigan",0.00853477626585976,1.00857130130588,0.00753107426257022,0.993793212891059,1.02356914559583
"Minnesota",0.00528280175699334,1.00529678035875,0.00839614002628333,0.988888560482507,1.02197725505749
"Mississippi",-0.00141693287062722,0.998584070504792,0.010537525984326,0.978171287392097,1.01942283393379
"Missouri",0.0105173485646549,1.01057285028138,0.00786882412460833,0.995106465824006,1.02627962012102
"Nebraska",0.0122819496497732,1.0123576825249,0.0136938490593427,0.985547460736318,1.03989723295669
"Nevada",-0.0231292323668571,0.97713619798974,0.0130896317980934,0.952385955706773,1.00252964011138
"New Jersey",0.0113605944441951,1.01142537106516,0.0102628026556887,0.991283710281688,1.03197628552133
"New Mexico",0.00145351528866127,1.001454572154,0.0125953595747003,0.977034427606553,1.02648507744501
"New York",0.00973317710878575,1.0097806985301,0.00853146986775113,0.993035858974673,1.02680789410441
"North Carolina",0.00130032565528355,1.00130117144525,0.0066594524328232,0.988316586271031,1.01445634917502
"Ohio",0.00538650776798763,1.00540104108384,0.00596404120061369,0.99371680933249,1.01722265731973
"Oklahoma",-0.00317632938031056,0.99682870981706,0.00905439815019598,0.979294416537646,1.01467695509662
"Oregon",0.000299364308578115,1.00029940912254,0.0114099392592073,0.978177515585448,1.02292159853219
"Pennsylvania",0.000688442215276383,1.00068867924601,0.00632608390297724,0.988357620919137,1.01317358370736
"South Carolina",-0.0109066886888883,0.989152573592758,0.00939006283551556,0.971114195192308,1.00752601361308
"Tennessee",0.00412153090165676,1.00413003609093,0.0083939711151059,0.987745058503265,1.02078681204219
"Texas",-0.0177061464013693,0.98244968632102,0.00456749178061201,0.973693769027425,0.991284340985737
"Utah",-0.0234524808894829,0.976820391202124,0.0120677451764952,0.953986974266835,1.00020031971776
"Virginia",-0.00513547101449266,0.994877692972712,0.00862147158119428,0.978207410444037,1.01183206486385
"Washington",-0.0207874812680536,0.9794270890565,0.0107185913012904,0.959065486476841,1.00022098209542
"West Virginia",0.0279834659669866,1.0283786810338,0.0113983642215673,1.00565862195272,1.05161203664849
"Wisconsin",0.00474453879848889,1.00475581194427,0.00874596300811585,0.987678984309061,1.02212789547407
