"state","residence_state_code","mmwr_week","mmwr_week_code","year","week","week_end_date","icd_subchapter","icd_subchapter_code","deaths"
"Alabama","01","2019 Week 34 ending August 24, 2019","2019/34",2019,34,2019-08-24,"Renal failure","N17-N19",15
"Alabama","01","2019 Week 35 ending August 31, 2019","2019/35",2019,35,2019-08-31,"Renal failure","N17-N19",24
"Alabama","01","2019 Week 36 ending September 07, 2019","2019/36",2019,36,2019-09-07,"Renal failure","N17-N19",31
"Alabama","01","2019 Week 37 ending September 14, 2019","2019/37",2019,37,2019-09-14,"Renal failure","N17-N19",19
"Alabama","01","2019 Week 38 ending September 21, 2019","2019/38",2019,38,2019-09-21,"Renal failure","N17-N19",28
"Alabama","01","2019 Week 39 ending September 28, 2019","2019/39",2019,39,2019-09-28,"Renal failure","N17-N19",31
"Alabama","01","2019 Week 40 ending October 05, 2019","2019/40",2019,40,2019-10-05,"Renal failure","N17-N19",30
"Alabama","01","2019 Week 41 ending October 12, 2019","2019/41",2019,41,2019-10-12,"Renal failure","N17-N19",20
"Alabama","01","2019 Week 42 ending October 19, 2019","2019/42",2019,42,2019-10-19,"Renal failure","N17-N19",29
"Alabama","01","2019 Week 43 ending October 26, 2019","2019/43",2019,43,2019-10-26,"Renal failure","N17-N19",24
"Alabama","01","2019 Week 44 ending November 02, 2019","2019/44",2019,44,2019-11-02,"Renal failure","N17-N19",33
"Alabama","01","2019 Week 45 ending November 09, 2019","2019/45",2019,45,2019-11-09,"Renal failure","N17-N19",32
"Alabama","01","2019 Week 46 ending November 16, 2019","2019/46",2019,46,2019-11-16,"Renal failure","N17-N19",41
"Alabama","01","2019 Week 47 ending November 23, 2019","2019/47",2019,47,2019-11-23,"Renal failure","N17-N19",31
"Alabama","01","2019 Week 48 ending November 30, 2019","2019/48",2019,48,2019-11-30,"Renal failure","N17-N19",31
"Alabama","01","2019 Week 49 ending December 07, 2019","2019/49",2019,49,2019-12-07,"Renal failure","N17-N19",35
"Alabama","01","2019 Week 50 ending December 14, 2019","2019/50",2019,50,2019-12-14,"Renal failure","N17-N19",44
"Alabama","01","2019 Week 51 ending December 21, 2019","2019/51",2019,51,2019-12-21,"Renal failure","N17-N19",28
"Alabama","01","2019 Week 52 ending December 28, 2019","2019/52",2019,52,2019-12-28,"Renal failure","N17-N19",24
"Alabama","01","2020 Week 01 ending January 04, 2020","2020/01",2020,1,2020-01-04,"Renal failure","N17-N19",28
"Alabama","01","2020 Week 02 ending January 11, 2020","2020/02",2020,2,2020-01-11,"Renal failure","N17-N19",30
"Alabama","01","2020 Week 03 ending January 18, 2020","2020/03",2020,3,2020-01-18,"Renal failure","N17-N19",35
"Alabama","01","2020 Week 04 ending January 25, 2020","2020/04",2020,4,2020-01-25,"Renal failure","N17-N19",37
"Alabama","01","2020 Week 05 ending February 01, 2020","2020/05",2020,5,2020-02-01,"Renal failure","N17-N19",31
"Alabama","01","2020 Week 06 ending February 08, 2020","2020/06",2020,6,2020-02-08,"Renal failure","N17-N19",39
"Alabama","01","2020 Week 07 ending February 15, 2020","2020/07",2020,7,2020-02-15,"Renal failure","N17-N19",21
"Alabama","01","2020 Week 08 ending February 22, 2020","2020/08",2020,8,2020-02-22,"Renal failure","N17-N19",20
"Alabama","01","2020 Week 09 ending February 29, 2020","2020/09",2020,9,2020-02-29,"Renal failure","N17-N19",34
"Alabama","01","2020 Week 10 ending March 07, 2020","2020/10",2020,10,2020-03-07,"Renal failure","N17-N19",35
"Alabama","01","2020 Week 11 ending March 14, 2020","2020/11",2020,11,2020-03-14,"Renal failure","N17-N19",44
"Alabama","01","2020 Week 12 ending March 21, 2020","2020/12",2020,12,2020-03-21,"Renal failure","N17-N19",29
"Alabama","01","2020 Week 13 ending March 28, 2020","2020/13",2020,13,2020-03-28,"Renal failure","N17-N19",30
"Alabama","01","2020 Week 14 ending April 04, 2020","2020/14",2020,14,2020-04-04,"Renal failure","N17-N19",25
"Alabama","01","2020 Week 15 ending April 11, 2020","2020/15",2020,15,2020-04-11,"Renal failure","N17-N19",33
"Alabama","01","2020 Week 16 ending April 18, 2020","2020/16",2020,16,2020-04-18,"Renal failure","N17-N19",28
"Alabama","01","2020 Week 17 ending April 25, 2020","2020/17",2020,17,2020-04-25,"Renal failure","N17-N19",33
"Alabama","01","2020 Week 18 ending May 02, 2020","2020/18",2020,18,2020-05-02,"Renal failure","N17-N19",36
"Alabama","01","2020 Week 19 ending May 09, 2020","2020/19",2020,19,2020-05-09,"Renal failure","N17-N19",25
"Alabama","01","2020 Week 20 ending May 16, 2020","2020/20",2020,20,2020-05-16,"Renal failure","N17-N19",41
"Alabama","01","2020 Week 21 ending May 23, 2020","2020/21",2020,21,2020-05-23,"Renal failure","N17-N19",32
"Alabama","01","2020 Week 22 ending May 30, 2020","2020/22",2020,22,2020-05-30,"Renal failure","N17-N19",27
"Alabama","01","2020 Week 23 ending June 06, 2020","2020/23",2020,23,2020-06-06,"Renal failure","N17-N19",35
"Alabama","01","2020 Week 24 ending June 13, 2020","2020/24",2020,24,2020-06-13,"Renal failure","N17-N19",33
"Alabama","01","2020 Week 25 ending June 20, 2020","2020/25",2020,25,2020-06-20,"Renal failure","N17-N19",37
"Alabama","01","2020 Week 26 ending June 27, 2020","2020/26",2020,26,2020-06-27,"Renal failure","N17-N19",34
"Alabama","01","2020 Week 27 ending July 04, 2020","2020/27",2020,27,2020-07-04,"Renal failure","N17-N19",31
"Alabama","01","2020 Week 28 ending July 11, 2020","2020/28",2020,28,2020-07-11,"Renal failure","N17-N19",40
"Alabama","01","2020 Week 29 ending July 18, 2020","2020/29",2020,29,2020-07-18,"Renal failure","N17-N19",34
"Alabama","01","2020 Week 30 ending July 25, 2020","2020/30",2020,30,2020-07-25,"Renal failure","N17-N19",32
"Alabama","01","2020 Week 31 ending August 01, 2020","2020/31",2020,31,2020-08-01,"Renal failure","N17-N19",42
"Alabama","01","2020 Week 32 ending August 08, 2020","2020/32",2020,32,2020-08-08,"Renal failure","N17-N19",39
"Alabama","01","2020 Week 33 ending August 15, 2020","2020/33",2020,33,2020-08-15,"Renal failure","N17-N19",34
"Alabama","01","2020 Week 34 ending August 22, 2020","2020/34",2020,34,2020-08-22,"Renal failure","N17-N19",52
"Alabama","01","2020 Week 35 ending August 29, 2020","2020/35",2020,35,2020-08-29,"Renal failure","N17-N19",37
"Alabama","01","2020 Week 36 ending September 05, 2020","2020/36",2020,36,2020-09-05,"Renal failure","N17-N19",31
"Alabama","01","2020 Week 37 ending September 12, 2020","2020/37",2020,37,2020-09-12,"Renal failure","N17-N19",27
"Alabama","01","2020 Week 38 ending September 19, 2020","2020/38",2020,38,2020-09-19,"Renal failure","N17-N19",34
"Alabama","01","2020 Week 39 ending September 26, 2020","2020/39",2020,39,2020-09-26,"Renal failure","N17-N19",28
"Alabama","01","2020 Week 40 ending October 03, 2020","2020/40",2020,40,2020-10-03,"Renal failure","N17-N19",30
"Alabama","01","2020 Week 41 ending October 10, 2020","2020/41",2020,41,2020-10-10,"Renal failure","N17-N19",36
"Alabama","01","2020 Week 42 ending October 17, 2020","2020/42",2020,42,2020-10-17,"Renal failure","N17-N19",44
"Alabama","01","2020 Week 43 ending October 24, 2020","2020/43",2020,43,2020-10-24,"Renal failure","N17-N19",36
"Alabama","01","2020 Week 44 ending October 31, 2020","2020/44",2020,44,2020-10-31,"Renal failure","N17-N19",31
"Alabama","01","2020 Week 45 ending November 07, 2020","2020/45",2020,45,2020-11-07,"Renal failure","N17-N19",46
"Alabama","01","2020 Week 46 ending November 14, 2020","2020/46",2020,46,2020-11-14,"Renal failure","N17-N19",30
"Alabama","01","2020 Week 47 ending November 21, 2020","2020/47",2020,47,2020-11-21,"Renal failure","N17-N19",33
"Alabama","01","2020 Week 48 ending November 28, 2020","2020/48",2020,48,2020-11-28,"Renal failure","N17-N19",55
"Alabama","01","2020 Week 49 ending December 05, 2020","2020/49",2020,49,2020-12-05,"Renal failure","N17-N19",35
"Alabama","01","2020 Week 50 ending December 12, 2020","2020/50",2020,50,2020-12-12,"Renal failure","N17-N19",43
"Alabama","01","2020 Week 51 ending December 19, 2020","2020/51",2020,51,2020-12-19,"Renal failure","N17-N19",55
"Alabama","01","2020 Week 52 ending December 26, 2020","2020/52",2020,52,2020-12-26,"Renal failure","N17-N19",48
