"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Sex","Sex Code","Deaths","Population","Crude Rate","Age Adjusted Rate","% of Total Deaths","source_file","Crude Rate Lower 95% Confidence Interval","Crude Rate Upper 95% Confidence Interval","Age Adjusted Rate Lower 95% Confidence Interval","Age Adjusted Rate Upper 95% Confidence Interval"
"population figures for years 2024 and later are single-race estimates of the July 1 resident population, from the Vintage 2024","",,"","","","",,,,,,"N182018",,,,
"postcensal series released by the Census Bureau on June 26, 2025. The population figures for year 2023 are single-race estimates","",,"","","","",,,,,,"N182018",,,,
"of the July 1 resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The","",,"","","","",,,,,,"N182018",,,,
"population figures for year 2022 are single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal","",,"","","","",,,,,,"N182018",,,,
"series released by the Census Bureau on June 22, 2023. The population figures for year 2021 are single-race estimates of the","",,"","","","",,,,,,"N182018",,,,
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial","",,"","","","",,,,,,"N182018",,,,
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures","",,"","","","",,,,,,"N182018",,,,
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on","",,"","","","",,,,,,"N182018",,,,
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race","",,"","","","",,,,,,"N182018",,,,
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the","",,"","","","",,,,,,"N182018",,,,
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident","",,"","","","",,,,,,"N182018",,,,
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019.","",,"","","","",,,,,,"N182018",,,,
"More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data.","",,"","","","",,,,,,"N182018",,,,
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the","",,"","","","",,,,,,"N182018",,,,
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age","",,"","","","",,,,,,"N182018",,,,
"Group.","",,"","","","",,,,,,"N182018",,,,
"8. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99","",,"","","","",,,,,,"N182018",,,,
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences","",,"","","","",,,,,,"N182018",,,,
"in information available to individual states and probable errors. Deaths with the underlying cause classified with O00-O99 are","",,"","","","",,,,,,"N182018",,,,
"subject to further processing before these deaths records are considered final. Provisional deaths have not undergone full","",,"","","","",,,,,,"N182018",,,,
"processing and review and therefore should not be considered final for statistical purposes. Caution should be used in","",,"","","","",,,,,,"N182018",,,,
"interpreting these data. More information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.","",,"","","","",,,,,,"N182018",,,,
"9. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,","",,"","","","",,,,,,"N182018",,,,
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,","",,"","","","",,,,,,"N182018",,,,
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the","",,"","","","",,,,,,"N182018",,,,
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and","",,"","","","",,,,,,"N182018",,,,
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,","",,"","","","",,,,,,"N182018",,,,
"2020.","",,"","","","",,,,,,"N182018",,,,
"10. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,","",,"","","","",,,,,,"N182018",,,,
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,","",,"","","","",,,,,,"N182018",,,,
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former","",,"","","","",,,,,,"N182018",,,,
"counties are not available for 2022 and later years. More information:","",,"","","","",,,,,,"N182018",,,,
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022.","",,"","","","",,,,,,"N182018",,,,
"11. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death","",,"","","","",,,,,,"N182018",,,,
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,","",,"","","","",,,,,,"N182018",,,,
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As","",,"","","","",,,,,,"N182018",,,,
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400","",,"","","","",,,,,,"N182018",,,,
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per","",,"","","","",,,,,,"N182018",,,,
"100,000 population. These deaths will not be updated on the final mortality datasets.","",,"","","","",,,,,,"N182018",,,,
"12. Changes to cause of death classification affect reporting trends. More information:","",,"","","","",,,,,,"N182018",,,,
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#ICD-10 Changes.","",,"","","","",,,,,,"N182018",,,,
"13. Deaths related to external causes of injury or sudden death: In the provisional mortality data, causes of death classified","",,"","","","",,,,,,"N182018",,,,
"as external causes of injury (ICD-10 codes V01-Y89), sudden deaths (ICD-10 codes R95 and R96), or drug poisoning (ICD-10 codes","",,"","","","",,,,,,"N182018",,,,
"T36-T50), have the cause of death labeled as 'Data not shown due to 6 month lag to account for delays in death certificate","",,"","","","",,,,,,"N182018",,,,
"completion for certain causes of death.' For these deaths occurring 24 weeks prior to the final date in the provisional data,","",,"","","","",,,,,,"N182018",,,,
"the number of deaths and related statistics are not available by specific cause of death for ICD-10 codes V01-Y89, R95, R96, or","",,"","","","",,,,,,"N182018",,,,
"T36-T50. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#999.","",,"","","","",,,,,,"N182018",,,,
"14. Deaths occurring through February 14, 2026 as of February 22, 2026.","",,"","","","",,,,,,"N182018",,,,
