"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Sex","Sex Code","Deaths","Population","Crude Rate","Age Adjusted Rate","% of Total Deaths","source_file","Crude Rate Lower 95% Confidence Interval","Crude Rate Upper 95% Confidence Interval","Age Adjusted Rate Lower 95% Confidence Interval","Age Adjusted Rate Upper 95% Confidence Interval"
"Total","2020",2020,"","","","",136331,329484123,41.4,32.9,"7.0%","N181999",,,,
"Total",,,"","","","",1938505,6746356647,28.7,26.3,"100.0%","N181999",,,,
"---",,,"","","","",,,,,"","N181999",,,,
"Dataset: Multiple Cause of Death, 1999-2020",,,"","","","",,,,,"","N181999",,,,
"Query Parameters:",,,"","","","",,,,,"","N181999",,,,
"MCD - ICD-10 Codes: N18.0 (End-stage renal disease); N18.1 (Chronic kidney disease, stage 1); N18.2 (Chronic kidney disease,",,,"","","","",,,,,"","N181999",,,,
"stage 2); N18.3 (Chronic kidney disease, stage 3); N18.4 (Chronic kidney disease, stage 4); N18.5 (Chronic kidney disease, stage",,,"","","","",,,,,"","N181999",,,,
"5); N18.8 (Other chronic renal failure); N18.9 (Chronic renal failure, unspecified)",,,"","","","",,,,,"","N181999",,,,
"Group By: Year; MCD - ICD Sub-Chapter; Sex",,,"","","","",,,,,"","N181999",,,,
"Show Totals: True",,,"","","","",,,,,"","N181999",,,,
"Show Zero Values: False",,,"","","","",,,,,"","N181999",,,,
"Show Suppressed: False",,,"","","","",,,,,"","N181999",,,,
"Standard Population: 2000 U.S. Std. Population",,,"","","","",,,,,"","N181999",,,,
"Calculate Rates Per: 100,000",,,"","","","",,,,,"","N181999",,,,
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)",,,"","","","",,,,,"","N181999",,,,
"---",,,"","","","",,,,,"","N181999",,,,
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information.",,,"","","","",,,,,"","N181999",,,,
"---",,,"","","","",,,,,"","N181999",,,,
"Query Date: Mar 2, 2026 8:46:27 PM",,,"","","","",,,,,"","N181999",,,,
"---",,,"","","","",,,,,"","N181999",,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,"","","","",,,,,"","N181999",,,,
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,",,,"","","","",,,,,"","N181999",,,,
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,"","","","",,,,,"","N181999",,,,
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Mar 2, 2026 8:46:27 PM",,,"","","","",,,,,"","N181999",,,,
"---",,,"","","","",,,,,"","N181999",,,,
"Footnotes:",,,"","","","",,,,,"","N181999",,,,
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths.",,,"","","","",,,,,"","N181999",,,,
"Note that any single death record may have up to 20 causes. More information.",,,"","","","",,,,,"","N181999",,,,
"---",,,"","","","",,,,,"","N181999",,,,
"Caveats:",,,"","","","",,,,,"","N181999",,,,
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:",,,"","","","",,,,,"","N181999",,,,
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision.",,,"","","","",,,,,"","N181999",,,,
"2. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of",,,"","","","",,,,,"","N181999",,,,
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data.",,,"","","","",,,,,"","N181999",,,,
"More information: http://wonder.cdc.gov/wonder/help/mcd.html#Georgia-Reporting-Anomalies.",,,"","","","",,,,,"","N181999",,,,
"3. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code",,,"","","","",,,,,"","N181999",,,,
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,",,,"","","","",,,,,"","N181999",,,,
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in",,,"","","","",,,,,"","N181999",,,,
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#New-Jersey-Reporting-Anomalies.",,,"","","","",,,,,"","N181999",,,,
"4. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other",,,"","","","",,,,,"","N181999",,,,
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in",,,"","","","",,,,,"","N181999",,,,
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/mcd.html#California-Reporting-Anomalies.",,,"","","","",,,,,"","N181999",,,,
"5. These items in the results table are not fully selected: Renal failure. The Query Description lists the actual values",,,"","","","",,,,,"","N181999",,,,
"selected.",,,"","","","",,,,,"","N181999",,,,
"6. The populations used to calculate standard age-adjusted rates are documented here: More information:",,,"","","","",,,,,"","N181999",,,,
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population.",,,"","","","",,,,,"","N181999",,,,
"7. The method used to calculate age-adjusted rates is documented here: More information:",,,"","","","",,,,,"","N181999",,,,
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates.",,,"","","","",,,,,"","N181999",,,,
"8. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates.",,,"","","","",,,,,"","N181999",,,,
"9. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020",,,"","","","",,,,,"","N181999",,,,
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the",,,"","","","",,,,,"","N181999",,,,
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for",,,"","","","",,,,,"","N181999",,,,
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS",,,"","","","",,,,,"","N181999",,,,
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the",,,"","","","",,,,,"","N181999",,,,
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race",,,"","","","",,,,,"","N181999",,,,
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The",,,"","","","",,,,,"","N181999",,,,
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal",,,"","","","",,,,,"","N181999",,,,
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident",,,"","","","",,,,,"","N181999",,,,
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are",,,"","","","",,,,,"","N181999",,,,
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,",,,"","","","",,,,,"","N181999",,,,
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012",,,"","","","",,,,,"","N181999",,,,
