"state","total_ac","total_deaths","af"
"Alabama",1259.62134622652,14210,0.0886433037457084
"Arizona",930.901585987953,12462,0.0746992124849906
"Arkansas",109.43046362633,10801,0.0101315122327868
"California",28725.2721595715,107107,0.268192295177453
"Colorado",1161.88826474445,17189,0.0675948725780701
"Connecticut",158.106994698653,10269,0.0153965327391814
"Florida",6595.57194497222,64256,0.102645230717322
"Georgia",1398.55630200664,28209,0.0495783722218668
"Illinois",4750.50907632394,38780,0.122498944722123
"Indiana",427.275634971435,28189,0.0151575307734022
"Iowa",1268.10228128615,11382,0.111412957414
"Kansas",116.536087248456,9165,0.0127153395797552
"Kentucky",1169.99125005106,18641,0.0627644037364442
"Louisiana",80.1534075897988,13749,0.00582976271654657
"Maryland",2069.76096622928,21212,0.0975750031222554
"Massachusetts",101.76530420359,21665,0.00469722151874405
"Michigan",2581.62631975537,32945,0.0783617034377105
"Minnesota",725.795046636358,18306,0.0396479321881546
"Mississippi",182.244350873486,9944,0.0183270666606482
"Missouri",2315.27356022317,21186,0.109283185132784
"Nebraska",359.50914294044,6585,0.0545951621777434
"Nevada",893.516454207689,6079,0.146984118145696
"New Jersey",1972.49866728067,24680,0.0799229605867369
"New Mexico",47.8510989806128,5275,0.00907129838495029
"New York",3329.58951198901,42126,0.0790388242887768
"North Carolina",255.847982878233,39256,0.00651742365188082
"Ohio",2593.17291367714,40926,0.0633624813975747
"Oklahoma",524.127710958498,14239,0.0368093061983635
"Oregon",200.899104908947,15292,0.0131375297481655
"Pennsylvania",33.8598013818113,51393,0.000658840725036702
"South Carolina",1334.33478653907,17983,0.0741997879407816
"Tennessee",793.876565594912,22503,0.0352786990887842
"Texas",11139.5145327893,75847,0.146868228575808
"Utah",1166.392989402,6900,0.169042462232174
"Virginia",1427.85847831177,27600,0.0517340028373832
"Washington",2529.86343357112,20400,0.124012913410349
"West Virginia",1742.34665071945,8867,0.196497874221208
"Wisconsin",704.059375761355,22426,0.031394781760517
