"Notes","State","State Code","Year","Year Code","Month","Month Code","Weekday","Weekday Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2018","2018","Aug., 2018","2018/08","Sunday","1","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Aug., 2018","2018/08","Monday","2","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Aug., 2018","2018/08","Tuesday","3","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Aug., 2018","2018/08","Wednesday","4","Renal failure","N17-N19",27,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Aug., 2018","2018/08","Thursday","5","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Aug., 2018","2018/08","Friday","6","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Aug., 2018","2018/08","Saturday","7","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09","Sunday","1","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09","Monday","2","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09","Tuesday","3","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09","Wednesday","4","Renal failure","N17-N19",Suppressed,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09","Thursday","5","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09","Friday","6","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Sep., 2018","2018/09","Saturday","7","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Oct., 2018","2018/10","Sunday","1","Renal failure","N17-N19",11,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Oct., 2018","2018/10","Monday","2","Renal failure","N17-N19",28,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Oct., 2018","2018/10","Tuesday","3","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Oct., 2018","2018/10","Wednesday","4","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Oct., 2018","2018/10","Thursday","5","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Oct., 2018","2018/10","Friday","6","Renal failure","N17-N19",24,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Oct., 2018","2018/10","Saturday","7","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Nov., 2018","2018/11","Sunday","1","Renal failure","N17-N19",24,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Nov., 2018","2018/11","Monday","2","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Nov., 2018","2018/11","Tuesday","3","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Nov., 2018","2018/11","Wednesday","4","Renal failure","N17-N19",22,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Nov., 2018","2018/11","Thursday","5","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Nov., 2018","2018/11","Friday","6","Renal failure","N17-N19",24,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Nov., 2018","2018/11","Saturday","7","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Dec., 2018","2018/12","Sunday","1","Renal failure","N17-N19",29,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Dec., 2018","2018/12","Monday","2","Renal failure","N17-N19",23,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Dec., 2018","2018/12","Tuesday","3","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Dec., 2018","2018/12","Wednesday","4","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Dec., 2018","2018/12","Thursday","5","Renal failure","N17-N19",22,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Dec., 2018","2018/12","Friday","6","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2018","2018","Dec., 2018","2018/12","Saturday","7","Renal failure","N17-N19",22,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jan., 2019","2019/01","Sunday","1","Renal failure","N17-N19",21,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jan., 2019","2019/01","Monday","2","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jan., 2019","2019/01","Tuesday","3","Renal failure","N17-N19",24,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jan., 2019","2019/01","Wednesday","4","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jan., 2019","2019/01","Thursday","5","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jan., 2019","2019/01","Friday","6","Renal failure","N17-N19",30,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Jan., 2019","2019/01","Saturday","7","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Feb., 2019","2019/02","Sunday","1","Renal failure","N17-N19",26,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Feb., 2019","2019/02","Monday","2","Renal failure","N17-N19",21,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Feb., 2019","2019/02","Tuesday","3","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Feb., 2019","2019/02","Wednesday","4","Renal failure","N17-N19",21,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Feb., 2019","2019/02","Thursday","5","Renal failure","N17-N19",25,Not Applicable,Not Applicable
,"Alabama","01","2019","2019","Feb., 2019","2019/02","Friday","6","Renal failure","N17-N19",16,Not Applicable,Not Applicable
