"state","residence_state_code","mmwr_week","mmwr_week_code","year","week","week_end_date","icd_chapter","icd_chapter_code","deaths"
"Alabama","01","2018 Week 27 ending July 07, 2018","2018/27",2018,27,2018-07-07,"Diseases of the genitourinary system","N00-N99",12
"Alabama","01","2018 Week 28 ending July 14, 2018","2018/28",2018,28,2018-07-14,"Diseases of the genitourinary system","N00-N99",12
"Alabama","01","2018 Week 29 ending July 21, 2018","2018/29",2018,29,2018-07-21,"Diseases of the genitourinary system","N00-N99",21
"Alabama","01","2018 Week 30 ending July 28, 2018","2018/30",2018,30,2018-07-28,"Diseases of the genitourinary system","N00-N99",13
"Alabama","01","2018 Week 31 ending August 04, 2018","2018/31",2018,31,2018-08-04,"Diseases of the genitourinary system","N00-N99",12
"Alabama","01","2018 Week 32 ending August 11, 2018","2018/32",2018,32,2018-08-11,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2018 Week 33 ending August 18, 2018","2018/33",2018,33,2018-08-18,"Diseases of the genitourinary system","N00-N99",19
"Alabama","01","2018 Week 34 ending August 25, 2018","2018/34",2018,34,2018-08-25,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2018 Week 36 ending September 08, 2018","2018/36",2018,36,2018-09-08,"Diseases of the genitourinary system","N00-N99",14
"Alabama","01","2018 Week 38 ending September 22, 2018","2018/38",2018,38,2018-09-22,"Diseases of the genitourinary system","N00-N99",14
"Alabama","01","2018 Week 39 ending September 29, 2018","2018/39",2018,39,2018-09-29,"Diseases of the genitourinary system","N00-N99",14
"Alabama","01","2018 Week 40 ending October 06, 2018","2018/40",2018,40,2018-10-06,"Diseases of the genitourinary system","N00-N99",12
"Alabama","01","2018 Week 41 ending October 13, 2018","2018/41",2018,41,2018-10-13,"Diseases of the genitourinary system","N00-N99",10
"Alabama","01","2018 Week 42 ending October 20, 2018","2018/42",2018,42,2018-10-20,"Diseases of the genitourinary system","N00-N99",28
"Alabama","01","2018 Week 43 ending October 27, 2018","2018/43",2018,43,2018-10-27,"Diseases of the genitourinary system","N00-N99",14
"Alabama","01","2018 Week 44 ending November 03, 2018","2018/44",2018,44,2018-11-03,"Diseases of the genitourinary system","N00-N99",17
"Alabama","01","2018 Week 45 ending November 10, 2018","2018/45",2018,45,2018-11-10,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2018 Week 46 ending November 17, 2018","2018/46",2018,46,2018-11-17,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2018 Week 47 ending November 24, 2018","2018/47",2018,47,2018-11-24,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2018 Week 48 ending December 01, 2018","2018/48",2018,48,2018-12-01,"Diseases of the genitourinary system","N00-N99",11
"Alabama","01","2018 Week 49 ending December 08, 2018","2018/49",2018,49,2018-12-08,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2018 Week 50 ending December 15, 2018","2018/50",2018,50,2018-12-15,"Diseases of the genitourinary system","N00-N99",21
"Alabama","01","2018 Week 51 ending December 22, 2018","2018/51",2018,51,2018-12-22,"Diseases of the genitourinary system","N00-N99",28
"Alabama","01","2018 Week 52 ending December 29, 2018","2018/52",2018,52,2018-12-29,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2019 Week 01 ending January 05, 2019","2019/01",2019,1,2019-01-05,"Diseases of the genitourinary system","N00-N99",23
"Alabama","01","2019 Week 02 ending January 12, 2019","2019/02",2019,2,2019-01-12,"Diseases of the genitourinary system","N00-N99",13
"Alabama","01","2019 Week 03 ending January 19, 2019","2019/03",2019,3,2019-01-19,"Diseases of the genitourinary system","N00-N99",26
"Alabama","01","2019 Week 04 ending January 26, 2019","2019/04",2019,4,2019-01-26,"Diseases of the genitourinary system","N00-N99",17
"Alabama","01","2019 Week 05 ending February 02, 2019","2019/05",2019,5,2019-02-02,"Diseases of the genitourinary system","N00-N99",25
"Alabama","01","2019 Week 06 ending February 09, 2019","2019/06",2019,6,2019-02-09,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2019 Week 07 ending February 16, 2019","2019/07",2019,7,2019-02-16,"Diseases of the genitourinary system","N00-N99",20
"Alabama","01","2019 Week 08 ending February 23, 2019","2019/08",2019,8,2019-02-23,"Diseases of the genitourinary system","N00-N99",24
"Alabama","01","2019 Week 09 ending March 02, 2019","2019/09",2019,9,2019-03-02,"Diseases of the genitourinary system","N00-N99",28
