"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2022 Week 01 ending January 08, 2022","2022/01","Diseases of the circulatory system","I00-I99",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 01 ending January 08, 2022","2022/01","Diseases of the genitourinary system","N00-N99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 02 ending January 15, 2022","2022/02","Diseases of the circulatory system","I00-I99",66,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 02 ending January 15, 2022","2022/02","Diseases of the genitourinary system","N00-N99",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 03 ending January 22, 2022","2022/03","Diseases of the circulatory system","I00-I99",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 03 ending January 22, 2022","2022/03","Diseases of the genitourinary system","N00-N99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 04 ending January 29, 2022","2022/04","Diseases of the circulatory system","I00-I99",56,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 04 ending January 29, 2022","2022/04","Diseases of the genitourinary system","N00-N99",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 05 ending February 05, 2022","2022/05","Diseases of the circulatory system","I00-I99",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 05 ending February 05, 2022","2022/05","Diseases of the genitourinary system","N00-N99",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 06 ending February 12, 2022","2022/06","Diseases of the circulatory system","I00-I99",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 06 ending February 12, 2022","2022/06","Diseases of the genitourinary system","N00-N99",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 07 ending February 19, 2022","2022/07","Diseases of the circulatory system","I00-I99",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 07 ending February 19, 2022","2022/07","Diseases of the genitourinary system","N00-N99",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 08 ending February 26, 2022","2022/08","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 08 ending February 26, 2022","2022/08","Diseases of the genitourinary system","N00-N99",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 09 ending March 05, 2022","2022/09","Diseases of the circulatory system","I00-I99",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 09 ending March 05, 2022","2022/09","Diseases of the genitourinary system","N00-N99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 10 ending March 12, 2022","2022/10","Diseases of the circulatory system","I00-I99",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 10 ending March 12, 2022","2022/10","Diseases of the genitourinary system","N00-N99",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 11 ending March 19, 2022","2022/11","Diseases of the circulatory system","I00-I99",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 11 ending March 19, 2022","2022/11","Diseases of the genitourinary system","N00-N99",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 12 ending March 26, 2022","2022/12","Diseases of the circulatory system","I00-I99",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 12 ending March 26, 2022","2022/12","Diseases of the genitourinary system","N00-N99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2022 Week 13 ending April 02, 2022","2022/13","Diseases of the circulatory system","I00-I99",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
