"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2018 Week 01 ending January 06, 2018","2018/01","Renal failure","N17-N19",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 02 ending January 13, 2018","2018/02","Renal failure","N17-N19",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 03 ending January 20, 2018","2018/03","Renal failure","N17-N19",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 04 ending January 27, 2018","2018/04","Renal failure","N17-N19",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 05 ending February 03, 2018","2018/05","Renal failure","N17-N19",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 06 ending February 10, 2018","2018/06","Renal failure","N17-N19",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 07 ending February 17, 2018","2018/07","Renal failure","N17-N19",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 08 ending February 24, 2018","2018/08","Renal failure","N17-N19",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 09 ending March 03, 2018","2018/09","Renal failure","N17-N19",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 10 ending March 10, 2018","2018/10","Renal failure","N17-N19",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 11 ending March 17, 2018","2018/11","Renal failure","N17-N19",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 12 ending March 24, 2018","2018/12","Renal failure","N17-N19",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 13 ending March 31, 2018","2018/13","Renal failure","N17-N19",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 14 ending April 07, 2018","2018/14","Renal failure","N17-N19",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
