"Notes","State","State Code","Year","Year Code","Month","Month Code","Weekday","Weekday Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Alabama","01","2009","2009","Jul., 2009","2009/07","Monday","2","Renal failure","N17-N19",23,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jul., 2009","2009/07","Tuesday","3","Renal failure","N17-N19",15,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jul., 2009","2009/07","Wednesday","4","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jul., 2009","2009/07","Thursday","5","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jul., 2009","2009/07","Friday","6","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Jul., 2009","2009/07","Saturday","7","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Aug., 2009","2009/08","Sunday","1","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Aug., 2009","2009/08","Monday","2","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Aug., 2009","2009/08","Tuesday","3","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Aug., 2009","2009/08","Wednesday","4","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Aug., 2009","2009/08","Thursday","5","Renal failure","N17-N19",15,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Aug., 2009","2009/08","Friday","6","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Aug., 2009","2009/08","Saturday","7","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Sep., 2009","2009/09","Sunday","1","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Sep., 2009","2009/09","Monday","2","Renal failure","N17-N19",13,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Sep., 2009","2009/09","Tuesday","3","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Sep., 2009","2009/09","Wednesday","4","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Sep., 2009","2009/09","Thursday","5","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Sep., 2009","2009/09","Friday","6","Renal failure","N17-N19",12,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Sep., 2009","2009/09","Saturday","7","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Oct., 2009","2009/10","Sunday","1","Renal failure","N17-N19",20,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Oct., 2009","2009/10","Monday","2","Renal failure","N17-N19",22,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Oct., 2009","2009/10","Tuesday","3","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Oct., 2009","2009/10","Wednesday","4","Renal failure","N17-N19",15,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Oct., 2009","2009/10","Thursday","5","Renal failure","N17-N19",18,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Oct., 2009","2009/10","Friday","6","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Oct., 2009","2009/10","Saturday","7","Renal failure","N17-N19",17,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Nov., 2009","2009/11","Sunday","1","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Nov., 2009","2009/11","Monday","2","Renal failure","N17-N19",19,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Nov., 2009","2009/11","Tuesday","3","Renal failure","N17-N19",14,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Nov., 2009","2009/11","Wednesday","4","Renal failure","N17-N19",Suppressed,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Nov., 2009","2009/11","Thursday","5","Renal failure","N17-N19",16,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Nov., 2009","2009/11","Friday","6","Renal failure","N17-N19",11,Not Applicable,Not Applicable
,"Alabama","01","2009","2009","Nov., 2009","2009/11","Saturday","7","Renal failure","N17-N19",11,Not Applicable,Not Applicable
