"Notes","Residence State","Residence State Code","MMWR Week","MMWR Week Code","MCD - ICD Chapter","MCD - ICD Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Alabama","01","2018 Week 01 ending January 06, 2018","2018/01","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 01 ending January 06, 2018","2018/01","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 02 ending January 13, 2018","2018/02","Diseases of the circulatory system","I00-I99",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 02 ending January 13, 2018","2018/02","Diseases of the genitourinary system","N00-N99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 03 ending January 20, 2018","2018/03","Diseases of the circulatory system","I00-I99",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 03 ending January 20, 2018","2018/03","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 04 ending January 27, 2018","2018/04","Diseases of the circulatory system","I00-I99",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 04 ending January 27, 2018","2018/04","Diseases of the genitourinary system","N00-N99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 05 ending February 03, 2018","2018/05","Diseases of the circulatory system","I00-I99",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 05 ending February 03, 2018","2018/05","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 06 ending February 10, 2018","2018/06","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 06 ending February 10, 2018","2018/06","Diseases of the genitourinary system","N00-N99",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 07 ending February 17, 2018","2018/07","Diseases of the circulatory system","I00-I99",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 07 ending February 17, 2018","2018/07","Diseases of the genitourinary system","N00-N99",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 08 ending February 24, 2018","2018/08","Diseases of the circulatory system","I00-I99",41,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 08 ending February 24, 2018","2018/08","Diseases of the genitourinary system","N00-N99",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 09 ending March 03, 2018","2018/09","Diseases of the circulatory system","I00-I99",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 09 ending March 03, 2018","2018/09","Diseases of the genitourinary system","N00-N99",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 10 ending March 10, 2018","2018/10","Diseases of the circulatory system","I00-I99",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 10 ending March 10, 2018","2018/10","Diseases of the genitourinary system","N00-N99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 11 ending March 17, 2018","2018/11","Diseases of the circulatory system","I00-I99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 11 ending March 17, 2018","2018/11","Diseases of the genitourinary system","N00-N99",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 12 ending March 24, 2018","2018/12","Diseases of the circulatory system","I00-I99",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 12 ending March 24, 2018","2018/12","Diseases of the genitourinary system","N00-N99",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 13 ending March 31, 2018","2018/13","Diseases of the circulatory system","I00-I99",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 13 ending March 31, 2018","2018/13","Diseases of the genitourinary system","N00-N99",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 14 ending April 07, 2018","2018/14","Diseases of the circulatory system","I00-I99",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 14 ending April 07, 2018","2018/14","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 15 ending April 14, 2018","2018/15","Diseases of the circulatory system","I00-I99",34,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 15 ending April 14, 2018","2018/15","Diseases of the genitourinary system","N00-N99",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 16 ending April 21, 2018","2018/16","Diseases of the circulatory system","I00-I99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 16 ending April 21, 2018","2018/16","Diseases of the genitourinary system","N00-N99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 17 ending April 28, 2018","2018/17","Diseases of the circulatory system","I00-I99",25,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 17 ending April 28, 2018","2018/17","Diseases of the genitourinary system","N00-N99",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 18 ending May 05, 2018","2018/18","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 18 ending May 05, 2018","2018/18","Diseases of the genitourinary system","N00-N99",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 19 ending May 12, 2018","2018/19","Diseases of the circulatory system","I00-I99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 19 ending May 12, 2018","2018/19","Diseases of the genitourinary system","N00-N99",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 20 ending May 19, 2018","2018/20","Diseases of the circulatory system","I00-I99",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 20 ending May 19, 2018","2018/20","Diseases of the genitourinary system","N00-N99",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 21 ending May 26, 2018","2018/21","Diseases of the circulatory system","I00-I99",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 21 ending May 26, 2018","2018/21","Diseases of the genitourinary system","N00-N99",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 22 ending June 02, 2018","2018/22","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 22 ending June 02, 2018","2018/22","Diseases of the genitourinary system","N00-N99",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 23 ending June 09, 2018","2018/23","Diseases of the circulatory system","I00-I99",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 23 ending June 09, 2018","2018/23","Diseases of the genitourinary system","N00-N99",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 24 ending June 16, 2018","2018/24","Diseases of the circulatory system","I00-I99",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 24 ending June 16, 2018","2018/24","Diseases of the genitourinary system","N00-N99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 25 ending June 23, 2018","2018/25","Diseases of the circulatory system","I00-I99",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 25 ending June 23, 2018","2018/25","Diseases of the genitourinary system","N00-N99",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 26 ending June 30, 2018","2018/26","Diseases of the circulatory system","I00-I99",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 26 ending June 30, 2018","2018/26","Diseases of the genitourinary system","N00-N99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 27 ending July 07, 2018","2018/27","Diseases of the circulatory system","I00-I99",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 27 ending July 07, 2018","2018/27","Diseases of the genitourinary system","N00-N99",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 28 ending July 14, 2018","2018/28","Diseases of the circulatory system","I00-I99",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 28 ending July 14, 2018","2018/28","Diseases of the genitourinary system","N00-N99",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 29 ending July 21, 2018","2018/29","Diseases of the circulatory system","I00-I99",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 29 ending July 21, 2018","2018/29","Diseases of the genitourinary system","N00-N99",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 30 ending July 28, 2018","2018/30","Diseases of the circulatory system","I00-I99",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 30 ending July 28, 2018","2018/30","Diseases of the genitourinary system","N00-N99",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 31 ending August 04, 2018","2018/31","Diseases of the circulatory system","I00-I99",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 31 ending August 04, 2018","2018/31","Diseases of the genitourinary system","N00-N99",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 32 ending August 11, 2018","2018/32","Diseases of the circulatory system","I00-I99",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 32 ending August 11, 2018","2018/32","Diseases of the genitourinary system","N00-N99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 33 ending August 18, 2018","2018/33","Diseases of the circulatory system","I00-I99",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 33 ending August 18, 2018","2018/33","Diseases of the genitourinary system","N00-N99",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 34 ending August 25, 2018","2018/34","Diseases of the circulatory system","I00-I99",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alabama","01","2018 Week 34 ending August 25, 2018","2018/34","Diseases of the genitourinary system","N00-N99",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
